TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y,Latitude,Longitude
Break and Enter Residential/Other,2011,6,9,19,35,48XX ARGYLE ST,Kensington-Cedar Cottage,494838.16,5454217.82,49.24071423,-123.0709147
Other Theft,2011,7,17,11,12,7XX DUNSMUIR ST,Central Business District,491485.39,5459049.95,49.28414268,-123.1170787
Theft from Vehicle,2011,4,6,21,0,35XX TURNER ST,Hastings-Sunrise,498064.32,5458483.4,49.27910271,-123.0266135
Vehicle Collision or Pedestrian Struck (with Injury),2011,4,28,8,5,TYNE ST / E 45TH AVE,Killarney,497659,5452939,49.22922821,-123.0321538
Mischief,2011,5,31,5,22,6XX RICHARDS ST,Central Business District,491672.82,5458842.68,49.28228084,-123.1144971
Theft from Vehicle,2011,9,29,21,0,13XX HARO ST,West End,490540.17,5459320.73,49.28656449,-123.1300821
Offence Against a Person,2011,3,17,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Theft from Vehicle,2011,3,6,13,0,11XX E HASTINGS ST,Strathcona,494140.92,5458699.28,49.28101958,-123.0805592
Break and Enter Residential/Other,2011,3,7,21,0,47XX SLOCAN ST,Renfrew-Collingwood,496233.44,5454388.07,49.24225584,-123.0517476
Theft of Vehicle,2011,6,27,19,0,22XX E HASTINGS ST,Grandview-Woodland,495783.81,5458710.03,49.28112981,-123.0579705
Break and Enter Residential/Other,2011,1,6,10,18,47XX RUPERT ST,Renfrew-Collingwood,497314.46,5454318.99,49.24164015,-123.0368953
Vehicle Collision or Pedestrian Struck (with Injury),2011,5,23,13,39,TYNE ST / KINGSWAY AVE,Renfrew-Collingwood,497724,5453248,49.23200799,-123.0312628
Break and Enter Residential/Other,2011,2,13,22,0,47XX QUEBEC ST,Riley Park,492533.68,5454422.7,49.2425334,-123.1025781
Break and Enter Residential/Other,2011,5,7,17,0,47XX PINE CRES,Shaughnessy,489322.21,5454468.22,49.24289526,-123.1467008
Other Theft,2011,8,23,18,0,9XX BURRARD ST,West End,490938.26,5458831.78,49.28217234,-123.1245969
Theft from Vehicle,2011,11,2,9,24,2XX W 10TH AVE,Mount Pleasant,492024.22,5456609.1,49.26219409,-123.1096209
Theft from Vehicle,2011,4,25,22,0,20XX W 35TH AVE,Shaughnessy,488936.6,5454147.77,49.24000589,-123.1519898
Theft from Vehicle,2011,2,6,19,59,7XX W GEORGIA ST,Central Business District,491407.74,5458871.84,49.28253947,-123.1181426
Theft from Vehicle,2011,2,16,16,30,7XX W GEORGIA ST,Central Business District,491407.74,5458871.84,49.28253947,-123.1181426
Theft of Vehicle,2011,1,2,20,0,22XX ETON ST,Grandview-Woodland,495715.79,5459415.82,49.28747804,-123.0589133
Vehicle Collision or Pedestrian Struck (with Injury),2011,9,2,19,20,UPLAND DR / VICTORIA DR,Victoria-Fraserview,495198,5451697,49.21804175,-123.065941
Theft of Vehicle,2011,7,8,16,0,22XX ETON ST,Grandview-Woodland,495718.4,5459415.8,49.28747788,-123.0588774
Break and Enter Residential/Other,2011,5,4,8,0,47XX MOSS ST,Renfrew-Collingwood,496854.17,5454344.16,49.24186437,-123.0432192
Theft from Vehicle,2011,2,19,14,0,7XX W GEORGIA ST,Central Business District,491407.74,5458871.84,49.28253947,-123.1181426
Break and Enter Residential/Other,2011,12,25,10,0,47XX MARGUERITE ST,Shaughnessy,489537.45,5454496.76,49.2431557,-123.1437444
Theft from Vehicle,2011,2,23,16,0,7XX W GEORGIA ST,Central Business District,491407.74,5458871.84,49.28253947,-123.1181426
Break and Enter Residential/Other,2011,2,22,8,44,47XX MARGUERITE ST,Shaughnessy,489524.83,5454477.66,49.24298367,-123.1439173
Theft from Vehicle,2011,3,20,15,0,7XX W GEORGIA ST,Central Business District,491407.74,5458871.84,49.28253947,-123.1181426
Theft from Vehicle,2011,7,6,3,53,10XX E 10TH AVE,Mount Pleasant,493943.92,5456519.86,49.26141337,-123.0832348
Other Theft,2011,8,29,18,15,8X W PENDER ST,Central Business District,492208.56,5458693,49.28094151,-123.1071279
Theft from Vehicle,2011,9,22,20,30,2XX W 10TH AVE,Mount Pleasant,491973.61,5456610.42,49.2622053,-123.1103166
Theft from Vehicle,2011,3,27,19,46,7XX W GEORGIA ST,Central Business District,491407.74,5458871.84,49.28253947,-123.1181426
Vehicle Collision or Pedestrian Struck (with Injury),2011,6,24,21,18,VENABLES ST / COMMERCIAL DR,Grandview-Woodland,494946,5458213,49.27665259,-123.0694836
Other Theft,2011,8,31,15,9,8X W PENDER ST,Central Business District,492208.56,5458693,49.28094151,-123.1071279
Theft from Vehicle,2011,3,16,21,0,13XX W 11TH AVE,Fairview,490256.61,5456544.14,49.26158415,-123.1339137
Theft from Vehicle,2011,5,29,14,28,4XX SEYMOUR ST,Central Business District,491758.44,5459079.59,49.28441304,-123.1133248
Theft from Vehicle,2011,7,22,11,30,7XX W GEORGIA ST,Central Business District,491407.74,5458871.84,49.28253947,-123.1181426
Offence Against a Person,2011,3,27,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Vehicle Collision or Pedestrian Struck (with Injury),2011,9,20,18,35,VENABLES ST / VERNON DR,Strathcona,494231,5458231,49.27680817,-123.0793139
Other Theft,2011,9,2,12,54,8X W PENDER ST,Central Business District,492208.56,5458693,49.28094151,-123.1071279
Offence Against a Person,2011,7,28,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Theft from Vehicle,2011,6,1,7,32,2XX UNION ST,Strathcona,492874.9,5458329.83,49.27768286,-123.0979597
Offence Against a Person,2011,12,13,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Other Theft,2011,9,3,18,50,8X W PENDER ST,Central Business District,492208.56,5458693,49.28094151,-123.1071279
Offence Against a Person,2011,12,24,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Theft from Vehicle,2011,7,30,10,30,7XX W GEORGIA ST,Central Business District,491407.74,5458871.84,49.28253947,-123.1181426
Break and Enter Residential/Other,2011,8,20,11,0,47XX LITTLE ST,Kensington-Cedar Cottage,495344.38,5454383.19,49.24220583,-123.0639621
Break and Enter Residential/Other,2011,2,21,9,55,47XX LITTLE ST,Kensington-Cedar Cottage,495344.38,5454383.19,49.24220583,-123.0639621
Theft from Vehicle,2011,6,30,6,0,23XX OXFORD ST,Grandview-Woodland,495804.59,5459214.04,49.28566361,-123.05769
Theft from Vehicle,2011,8,17,22,30,45XX INVERNESS ST,Kensington-Cedar Cottage,494160.85,5454598.61,49.24413343,-123.0802253
Offence Against a Person,2011,5,11,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Offence Against a Person,2011,8,26,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Other Theft,2011,10,10,18,4,7XX DUNSMUIR ST,Central Business District,491485.39,5459049.95,49.28414268,-123.1170787
Theft from Vehicle,2011,4,6,22,30,35XX TURNER ST,Hastings-Sunrise,498008.88,5458483.9,49.27910703,-123.0273758
Theft from Vehicle,2011,7,30,14,8,7XX W GEORGIA ST,Central Business District,491407.74,5458871.84,49.28253947,-123.1181426
Theft from Vehicle,2011,10,31,20,30,45XX HENRY ST,Kensington-Cedar Cottage,494356.08,5454635.51,49.24446719,-123.0775435
Theft from Vehicle,2011,3,25,9,0,1XX LAKEWOOD DR,Grandview-Woodland,495520.94,5459015.21,49.28387309,-123.0615882
Other Theft,2011,9,3,19,4,8X W PENDER ST,Central Business District,492208.56,5458693,49.28094151,-123.1071279
Offence Against a Person,2011,12,12,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Theft from Vehicle,2011,7,28,20,0,13XX W 12TH AVE,Fairview,490190.21,5456445.13,49.26069248,-123.1348239
Offence Against a Person,2011,3,15,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Vehicle Collision or Pedestrian Struck (with Injury),2011,2,7,4,48,VICTORIA DR / E 1ST AVE,Grandview-Woodland,495215,5457424,49.26955755,-123.0657759
Offence Against a Person,2011,5,29,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Mischief,2011,4,5,18,14,9XX RICHARDS ST,Central Business District,491307.39,5458474.83,49.27896688,-123.1195137
Theft from Vehicle,2011,7,31,12,0,7XX W GEORGIA ST,Central Business District,491407.74,5458871.84,49.28253947,-123.1181426
Other Theft,2011,11,15,11,20,7XX DUNSMUIR ST,Central Business District,491485.39,5459049.95,49.28414268,-123.1170787
Theft from Vehicle,2011,9,10,20,30,7XX W GEORGIA ST,Central Business District,491407.74,5458871.84,49.28253947,-123.1181426
Theft from Vehicle,2011,12,29,19,10,7XX W GEORGIA ST,Central Business District,491407.74,5458871.84,49.28253947,-123.1181426
Break and Enter Residential/Other,2011,4,26,11,30,47XX JOYCE ST,Renfrew-Collingwood,497944.43,5454370.07,49.24210207,-123.0282408
Break and Enter Residential/Other,2011,10,17,13,0,47XX INVERNESS ST,Kensington-Cedar Cottage,494157.79,5454376.76,49.24213781,-123.0802641
Offence Against a Person,2011,12,29,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Theft from Vehicle,2011,3,7,5,48,2XX UNION ST,Strathcona,492856.47,5458330.55,49.27768913,-123.0982131
Theft from Vehicle,2011,9,13,11,0,2XX UNION ST,Strathcona,492849.11,5458330.84,49.27769165,-123.0983142
Theft from Vehicle,2011,9,12,19,0,2XX UNION ST,Strathcona,492849.11,5458330.84,49.27769165,-123.0983142
Theft from Vehicle,2011,9,12,0,0,2XX UNION ST,Strathcona,492849.11,5458330.84,49.27769165,-123.0983142
Vehicle Collision or Pedestrian Struck (with Injury),2011,10,4,10,24,VICTORIA DR / E 36TH AVE,Kensington-Cedar Cottage,495236,5453858,49.23748079,-123.0654448
Theft from Vehicle,2011,9,11,18,0,2XX UNION ST,Strathcona,492849.11,5458330.84,49.27769165,-123.0983142
Break and Enter Residential/Other,2011,4,3,13,25,47XX HENRY ST,Kensington-Cedar Cottage,494341.73,5454314.89,49.24158301,-123.0777362
Break and Enter Residential/Other,2011,5,24,9,30,47XX FAIRMONT ST,Renfrew-Collingwood,496960.01,5454378.16,49.24217074,-123.0417654
Theft from Vehicle,2011,9,1,1,0,2XX UNION ST,Strathcona,492849.11,5458330.84,49.27769165,-123.0983142
Break and Enter Residential/Other,2011,1,1,17,0,47XX ELM ST,Arbutus Ridge,488059.96,5454522.88,49.24336361,-123.1640442
Theft from Vehicle,2011,3,2,13,19,80XX KERR ST,Killarney,496964.04,5450960.87,49.21143135,-123.0416842
Theft from Vehicle,2011,9,7,12,30,20XX W 36TH AVE,Shaughnessy,488875.62,5454047.98,49.23910716,-123.1528247
Theft from Vehicle,2012,3,4,16,0,87XX GRANVILLE ST,Marpole,489752.84,5450386.36,49.20618532,-123.1406802
Theft from Vehicle,2012,3,6,23,30,87XX GRANVILLE ST,Marpole,489752.84,5450386.36,49.20618532,-123.1406802
Theft from Vehicle,2012,4,5,17,30,87XX GRANVILLE ST,Marpole,489752.84,5450386.36,49.20618532,-123.1406802
Theft from Vehicle,2012,1,18,17,30,87XX GRANVILLE ST,Marpole,489761.98,5450386.13,49.2061834,-123.1405547
Theft from Vehicle,2012,4,7,18,35,87XX GRANVILLE ST,Marpole,489761.98,5450386.13,49.2061834,-123.1405547
Theft from Vehicle,2012,4,29,12,0,87XX GRANVILLE ST,Marpole,489761.98,5450386.13,49.2061834,-123.1405547
Theft from Vehicle,2012,11,13,17,0,87XX GRANVILLE ST,Marpole,489761.98,5450386.13,49.2061834,-123.1405547
Theft from Vehicle,2012,4,7,19,0,87XX GRANVILLE ST,Marpole,489764.29,5450477.46,49.20700498,-123.1405253
Theft from Vehicle,2012,3,8,18,40,87XX HEATHER ST,Marpole,490967.77,5450441.09,49.20669674,-123.124002
Theft from Vehicle,2012,2,15,9,30,87XX HUDSON ST,Marpole,490186.43,5450458.78,49.20684385,-123.1347293
Theft from Vehicle,2012,10,28,18,0,87XX HUDSON ST,Marpole,490194.4,5450373.36,49.2060756,-123.1346178
Theft from Vehicle,2012,11,23,17,0,87XX HUDSON ST,Marpole,490195.22,5450432.81,49.20661038,-123.134608
Theft from Vehicle,2012,3,6,16,0,87XX LAUREL ST,Marpole,490794.61,5450427.9,49.20657551,-123.126379
Theft of Vehicle,2012,6,17,10,0,23XX MAPLE ST,Kitsilano,489055.82,5456921.52,49.26495845,-123.1504277
Theft from Vehicle,2012,1,31,15,0,87XX LAUREL ST,Marpole,490803.46,5450419.16,49.20649703,-123.1262573
Vehicle Collision or Pedestrian Struck (with Injury),2012,7,16,10,49,ELLIOTT ST / WAVERLEY AVE,Victoria-Fraserview,496019,5452666,49.22676404,-123.0546766
Theft from Vehicle,2012,9,23,17,0,87XX MONTCALM ST,Marpole,490082.96,5450435.52,49.20663296,-123.1361493
Theft from Vehicle,2012,10,26,13,0,12XX E GEORGIA ST,Strathcona,494289.61,5458431.91,49.27861594,-123.0785109
Theft from Vehicle,2012,7,16,19,0,87XX OSLER ST,Marpole,490402.11,5450411.7,49.20642377,-123.1317672
Theft from Vehicle,2012,4,6,23,0,87XX SELKIRK ST,Marpole,490282.09,5450420.62,49.20650212,-123.1334151
Theft from Vehicle,2012,2,29,20,0,87XX SW MARINE DR,Marpole,489638.41,5450386.63,49.20618582,-123.1422511
Theft from Vehicle,2012,4,7,19,30,87XX SW MARINE DR,Marpole,489642.44,5450474.14,49.20697307,-123.1421981
Theft from Vehicle,2012,4,20,16,30,88XX HUDSON ST,Marpole,490180.72,5450198.06,49.20449851,-123.1348013
Theft from Vehicle,2012,4,24,5,47,11XX GRANVILLE ST,Central Business District,490853.68,5458300.2,49.27738944,-123.1257477
Theft from Vehicle,2012,7,22,17,0,11XX GRANVILLE ST,Central Business District,490853.68,5458300.2,49.27738944,-123.1257477
Theft from Vehicle,2012,8,20,22,0,11XX GRANVILLE ST,Central Business District,490853.68,5458300.2,49.27738944,-123.1257477
Theft from Vehicle,2012,8,21,10,0,11XX GRANVILLE ST,Central Business District,490853.68,5458300.2,49.27738944,-123.1257477
Theft from Vehicle,2012,8,26,6,27,11XX GRANVILLE ST,Central Business District,490853.68,5458300.2,49.27738944,-123.1257477
Theft from Vehicle,2012,12,29,17,17,11XX GRANVILLE ST,Central Business District,490853.68,5458300.2,49.27738944,-123.1257477
Theft from Vehicle,2012,1,11,21,0,88XX MONTCALM ST,Marpole,490070.19,5450289.48,49.20531908,-123.136321
Theft from Vehicle,2012,10,8,1,30,12XX E GEORGIA ST,Strathcona,494346.12,5458430.56,49.27860433,-123.077734
Theft from Vehicle,2012,1,11,23,0,88XX MONTCALM ST,Marpole,490070.19,5450289.48,49.20531908,-123.136321
Theft of Vehicle,2012,3,1,8,30,23XX OAK ST,Fairview,490787.37,5456927.5,49.26504077,-123.1266278
Theft from Vehicle,2012,4,8,0,0,88XX MONTCALM ST,Marpole,490078.46,5450255.21,49.20501095,-123.1362066
Theft from Vehicle,2012,5,20,14,0,88XX MONTCALM ST,Marpole,490078.46,5450255.21,49.20501095,-123.1362066
Theft from Vehicle,2012,8,1,12,0,88XX MONTCALM ST,Marpole,490080.32,5450328.15,49.20566709,-123.1361829
Vehicle Collision or Pedestrian Struck (with Injury),2012,4,23,22,6,FIR ST / W BROADWAY AVE,Fairview,489739,5456770,49.26360734,-123.1410336
Theft from Vehicle,2012,10,29,0,0,89XX HUDSON ST,Marpole,490186.83,5450074.65,49.2033885,-123.1347144
Theft from Vehicle,2012,11,9,16,0,89XX HUDSON ST,Marpole,490186.83,5450074.65,49.2033885,-123.1347144
Theft from Vehicle,2012,10,19,23,0,89XX SHAUGHNESSY ST,Marpole,490614.42,5450265.87,49.20511528,-123.128849
Theft from Vehicle,2012,7,2,15,0,89XX STANLEY PARK DR,Stanley Park,489232.13,5460019.46,49.29282801,-123.1480877
Theft from Vehicle,2012,6,17,15,30,8X E 13TH AVE,Mount Pleasant,492475.07,5456286.19,49.25929516,-123.1034183
Theft from Vehicle,2012,4,18,0,0,8X E 62ND AVE,Sunset,492380.65,5451275.62,49.21422276,-123.1046207
Theft from Vehicle,2012,2,11,0,0,11XX GRANVILLE ST,Central Business District,490879.04,5458338.66,49.27773577,-123.1253999
Theft from Vehicle,2012,6,19,10,0,8X KEEFER PL,Central Business District,492202.52,5458543.6,49.27959755,-123.107208
Theft from Vehicle,2012,2,4,15,0,8X W 15TH AVE,Mount Pleasant,492231.93,5456101.82,49.25763368,-123.1067563
Theft from Vehicle,2012,3,6,19,0,8X W 47TH AVE,Oakridge,492152.71,5452768.71,49.22765061,-123.1077797
Other Theft,2012,12,14,9,41,4XX GRANVILLE ST,Central Business District,491648.23,5459113.22,49.28471405,-123.1148409
Other Theft,2012,12,6,11,22,4XX GRANVILLE ST,Central Business District,491648.23,5459113.22,49.28471405,-123.1148409
Other Theft,2012,12,5,14,11,4XX GRANVILLE ST,Central Business District,491648.23,5459113.22,49.28471405,-123.1148409
Other Theft,2012,12,3,18,2,4XX GRANVILLE ST,Central Business District,491648.23,5459113.22,49.28471405,-123.1148409
Other Theft,2012,11,14,18,39,4XX GRANVILLE ST,Central Business District,491648.23,5459113.22,49.28471405,-123.1148409
Other Theft,2012,3,4,18,32,31XX OAK ST,Fairview,490740.87,5456097.76,49.25757641,-123.1272477
Other Theft,2012,11,1,18,0,4XX GRANVILLE ST,Central Business District,491648.23,5459113.22,49.28471405,-123.1148409
Vehicle Collision or Pedestrian Struck (with Injury),2012,11,13,16,52,FRASER ST / E 20TH AVE,Riley Park,493451,5455562,49.25279215,-123.0899938
Other Theft,2012,10,17,12,23,4XX GRANVILLE ST,Central Business District,491648.23,5459113.22,49.28471405,-123.1148409
Vehicle Collision or Pedestrian Struck (with Injury),2012,11,30,9,50,FRASER ST / E 22ND AVE,Riley Park,493444,5455363,49.25100203,-123.0900868
Other Theft,2012,2,26,11,1,31XX OAK ST,Fairview,490740.87,5456097.76,49.25757641,-123.1272477
Other Theft,2012,10,16,17,1,4XX GRANVILLE ST,Central Business District,491648.23,5459113.22,49.28471405,-123.1148409
Theft from Vehicle,2012,3,12,7,0,11XX GRANVILLE ST,Central Business District,490898.14,5458357.86,49.27790876,-123.1251378
Other Theft,2012,10,9,14,19,4XX GRANVILLE ST,Central Business District,491648.23,5459113.22,49.28471405,-123.1148409
Other Theft,2012,9,26,12,18,4XX GRANVILLE ST,Central Business District,491648.23,5459113.22,49.28471405,-123.1148409
Theft from Vehicle,2012,1,14,23,0,13XX E 8TH AVE,Grandview-Woodland,494405.58,5456727.39,49.26328454,-123.0768927
Theft from Vehicle,2012,11,30,17,0,12XX E HASTINGS ST,Strathcona,494277.84,5458719.27,49.28120069,-123.0786769
Other Theft,2012,9,24,16,42,4XX GRANVILLE ST,Central Business District,491648.23,5459113.22,49.28471405,-123.1148409
Other Theft,2012,9,21,13,43,4XX GRANVILLE ST,Central Business District,491648.23,5459113.22,49.28471405,-123.1148409
Vehicle Collision or Pedestrian Struck (with Injury),2012,3,23,12,0,FRASER ST / E 33RD AVE,Riley Park,493421,5454173,49.24029747,-123.0903833
Other Theft,2012,9,19,9,43,4XX GRANVILLE ST,Central Business District,491648.23,5459113.22,49.28471405,-123.1148409
Other Theft,2012,9,18,12,3,4XX GRANVILLE ST,Central Business District,491648.23,5459113.22,49.28471405,-123.1148409
Theft from Vehicle,2012,1,12,19,30,8X W PENDER ST,Central Business District,492208.56,5458693,49.28094151,-123.1071279
Theft from Vehicle,2012,1,13,10,1,8X W PENDER ST,Central Business District,492208.56,5458693,49.28094151,-123.1071279
Theft from Vehicle,2012,1,14,19,10,8X W PENDER ST,Central Business District,492208.56,5458693,49.28094151,-123.1071279
Theft from Vehicle,2012,1,16,11,0,8X W PENDER ST,Central Business District,492208.56,5458693,49.28094151,-123.1071279
Vehicle Collision or Pedestrian Struck (with Injury),2012,2,28,9,14,FRASER ST / E 41ST AVE,Riley Park,493407,5453352,49.23291223,-123.0905621
Theft from Vehicle,2012,1,24,19,0,8X W PENDER ST,Central Business District,492208.56,5458693,49.28094151,-123.1071279
Theft from Vehicle,2012,1,27,20,0,8X W PENDER ST,Central Business District,492208.56,5458693,49.28094151,-123.1071279
Theft from Vehicle,2012,1,15,18,0,13XX E 8TH AVE,Grandview-Woodland,494405.58,5456727.39,49.26328454,-123.0768927
Theft from Vehicle,2012,4,9,19,0,8X W PENDER ST,Central Business District,492208.56,5458693,49.28094151,-123.1071279
Theft from Vehicle,2012,5,14,21,45,8X W PENDER ST,Central Business District,492208.56,5458693,49.28094151,-123.1071279
Theft from Vehicle,2012,5,25,14,43,8X W PENDER ST,Central Business District,492208.56,5458693,49.28094151,-123.1071279
Theft from Vehicle,2012,5,30,15,21,8X W PENDER ST,Central Business District,492208.56,5458693,49.28094151,-123.1071279
Theft from Vehicle,2012,6,6,18,0,8X W PENDER ST,Central Business District,492208.56,5458693,49.28094151,-123.1071279
Theft from Vehicle,2012,7,19,18,31,8X W PENDER ST,Central Business District,492208.56,5458693,49.28094151,-123.1071279
Theft from Vehicle,2012,9,25,15,30,8X W PENDER ST,Central Business District,492208.56,5458693,49.28094151,-123.1071279
Other Theft,2012,9,4,12,58,4XX GRANVILLE ST,Central Business District,491648.23,5459113.22,49.28471405,-123.1148409
Other Theft,2012,6,22,13,11,4XX GRANVILLE ST,Central Business District,491648.23,5459113.22,49.28471405,-123.1148409
Other Theft,2012,6,14,16,16,4XX GRANVILLE ST,Central Business District,491648.23,5459113.22,49.28471405,-123.1148409
Theft from Vehicle,2012,10,13,16,0,8X W PENDER ST,Central Business District,492208.56,5458693,49.28094151,-123.1071279
